Client Name,Client Email,Amount,Due Date,Notes
Acme Corp,billing@acme.com,2500.00,2026-06-15,Web development project
Smith Design,hello@smithdesign.com,850.00,2026-06-20,Brand identity package
Greenfield LLC,accounts@greenfield.io,4200.00,2026-07-01,Q3 consulting retainer
Pixel Studio,info@pixelstudio.co,1200.00,2026-07-10,Mobile app UI design
Coastal Marketing,jane@coastalmarketing.com,1800.00,2026-07-15,SEO audit + recommendations
Beacon Agency,billing@beaconagency.com,3400.00,2026-07-20,Social media campaign management
Riverbend Consulting,hello@riverbend.co,950.00,2026-07-25,Business strategy session
Northwind Traders,accounts@northwind.com,6800.00,2026-08-01,Supply chain audit
Sterling & Co.,info@sterlingco.com,2100.00,2026-08-05,Annual brand refresh
Horizon Ventures,jane@horizon.ventures,5500.00,2026-08-15,Market research report
Maple Leaf Services,contact@mapleleaf.io,1600.00,2026-08-20,IT infrastructure assessment
Blue Ridge Partners,team@blueridgepartners.com,3900.00,2026-09-01,Q4 advisory retainer
Crestview Media,hello@crestview.media,750.00,2026-09-10,Content strategy workshop
Pacific Northwest Ltd,billing@pacificnw.com,4800.00,2026-09-15,Product launch campaign
Apex Digital,info@apexdigital.com,2950.00,2026-09-25,Website redesign
